,qidx,recall,searchTime,host,gt_file,dset_size,argsn,vectorindex
0,0,0.98,5344502,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
1,1,0.96,4442310,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
2,2,1.0,7208501,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
3,3,1.0,4241866,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
4,4,1.0,4891714,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
5,5,1.0,4158396,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
6,6,1.0,3886266,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
7,7,1.0,5566117,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
8,8,1.0,8870006,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
9,9,1.0,4404506,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
10,10,1.0,6738161,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
11,11,1.0,5292701,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
12,12,1.0,5449417,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
13,13,1.0,6341089,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
14,14,1.0,7244621,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
15,15,1.0,5138923,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
16,16,1.0,2996244,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
17,17,1.0,6400918,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
18,18,1.0,3767836,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
19,19,1.0,5980010,fractals-1,/mnt/nas1/fvs_benchmark_datasets/deep-1M-gt-1000.npy,1000000,1M,hnsw
